"","Ctrl_1.CEL","Ctrl_2.CEL","Ctrl_3.CEL","Dom_1.CEL","Dom_2.CEL","Dom_3.CEL","N_D_3.CEL","N_D_4.CEL","N_D_5.CEL","NEN_2.CEL","NEN_3.CEL","NEN_5.CEL"
"HTA2-pos-47419337_st",4.66277572677171,4.89632279399531,4.93148546832413,5.30550856416722,4.27234559809985,5.93797222523788,5.49986851202403,4.36480053945245,3.66086601998281,4.33352724435071,5.6853643233703,4.84800544873434
"HTA2-pos-47419338_st",4.23706516890408,5.18998720664053,5.04220724271324,5.27135855908992,4.68007310331702,5.07685206928725,4.18866724497399,4.29299744700908,3.8398698832004,3.86479759057038,4.82279740392098,4.43913483070643
"HTA2-pos-47420067_st",5.68179900558819,6.50248616670248,5.92479134975014,5.45118173810915,5.12235973949995,5.11890409239291,6.01120733145143,5.68647557381579,3.46403767427681,5.62202572607708,5.37500846505588,5.92479134975014
"HTA2-pos-47420544_st",4.62713300253358,5.08620672775293,3.90217472521229,4.64381026711185,5.0915800763351,4.79437012159148,5.55966849618613,4.44321467996596,4.42224262772695,5.45468453136814,3.64478211107517,5.11544014819321
"HTA2-pos-47421925_st",3.66401937855514,3.64424146883082,4.21886489713025,4.30751687269623,4.09067010894187,3.88565252862668,3.52129936981463,4.07300510270501,3.85699550841561,4.30216568780587,4.34582113300573,4.21330564231352
"HTA2-pos-47421926_st",6.39075224192713,5.23453154562709,5.85962738119932,6.3533984584147,5.91779216955861,5.60521459733538,6.38192907359631,5.23777512440691,6.2492491775487,5.67567440107595,4.6669709668997,6.06251299334483
"HTA2-pos-47421978_st",3.6519950541339,3.57221565072794,3.55581413203278,4.37106118367165,3.58785966572093,3.74504266661812,3.75340219717523,4.48090176061472,3.95169632799635,4.67487629987713,3.47970897352941,4.12779203760242
"HTA2-pos-47421981_st",3.56457241318411,3.44116126323288,3.91196125408252,4.21551892225167,4.19363611761204,4.33925931506284,3.98233482841324,4.93347385116781,3.88545544214462,3.94964597365058,3.55371827351447,3.53235829432839
"HTA2-pos-47421982_st",4.17888011019972,4.18949297605713,4.62307747083335,3.5081672093392,4.90188343213436,3.87794760633819,4.5613343597547,4.68716109498783,4.44319624309711,3.61958362358993,3.74349046361381,4.6377149911916
"HTA2-pos-47422721_st",3.89458481547609,5.06323314579504,4.8692772243773,4.05574174474618,3.30323562021633,3.88343387276568,4.48120683087645,5.5936106644028,4.38838686169514,5.22235954195759,3.8885170868033,4.17422539313115
"HTA2-pos-47422722_st",4.51518931355585,5.83433320662713,5.79122390537308,5.96298327699259,5.3976952295916,5.04798050151346,4.88776732532382,3.97072142936304,4.50666673032776,4.91347399647458,5.47117374608206,5.22106463338156
"HTA2-pos-47424202_st",5.23429130712374,2.71478940940849,3.13554979192757,5.08560619373908,3.82168967020664,5.04168783703139,4.85774093187037,4.03254068029617,3.83074649882259,4.04339617848763,3.85405883803685,4.45425133147376
"HTA2-pos-47424203_st",2.67237529958511,3.94374826944318,3.07745844699045,4.07296365987754,3.66829052959905,2.51717153801719,2.7122578262167,4.00607175967226,3.03015941211747,4.67097488303449,3.07787051040885,3.78446364616153
"HTA2-pos-47424555_st",5.36448781311953,4.61592526566197,5.21249809723453,4.40660786075858,5.77145646666421,5.06723019297794,4.54752804379912,3.83170918732366,4.91503919203937,5.74132364273264,4.60847302392115,5.54993407611263
"HTA2-pos-47424558_st",4.73590539077814,5.7706809679548,4.90054302287533,5.97873591932869,5.83207405273263,5.35261241164317,5.68847412205177,5.54311642681623,5.82583564507761,5.38342624331407,5.08762594591748,4.51085847035508
"HTA2-pos-47424655_st",3.22168749610084,4.36396780881991,3.71580460749108,3.95900884976905,4.37254284432626,4.12237228111937,4.94504523809862,4.93016764674755,3.72700554548749,4.03381029265864,3.82854424509594,4.6066590663766
"HTA2-pos-gi312147440_st",10.2978825218544,10.07981689779,10.0909432634647,10.0863112169352,10.0158742423505,10.1142864771621,10.0163955041097,9.96545471864101,9.98177101286051,10.3146522580387,10.0513210378787,10.1173405673762
"HTA2-pos-JUC01000985.hg.1",5.62446481560555,5.97725952514446,6.04619510838555,6.48916465672137,5.92479134975014,5.87034275211174,6.57363369569996,6.38800194093746,4.68177913596377,4.08835648020544,6.53136756761365,6.50910107596346
"HTA2-pos-JUC01015623.hg.1",9.35508534288191,9.11532072831355,9.3853863624417,8.87631394229115,9.15009396739235,9.05799618048971,8.63779252192015,8.67826034685754,8.43878561944166,8.75891592908728,8.63998543518628,9.18638758906847
"HTA2-pos-JUC01015624.hg.1",11.9060443663632,11.7672668412432,11.8327058812674,11.8048460906634,11.8170258442858,11.7031611752155,11.591040374087,11.4322933811154,11.588670229176,11.7431867580576,11.6550512697634,11.654354649565
"HTA2-pos-JUC03002217.hg.1",11.1354286104108,11.3630607532156,11.2884430807116,11.0047536288517,11.2953279968778,11.1869138435577,11.1426404188962,11.2620802670468,11.171280135569,11.3769672826804,11.4195726196786,11.3211161378969
"HTA2-pos-JUC04005577.hg.1",8.33622791085941,7.8974779648949,8.3281634254592,8.3159808483976,8.34886169122137,8.97488054024298,8.34940893562851,8.70675823815318,8.64048720055982,8.50267534164361,8.90339829921925,8.83077042922955
